"No. CUADRANTE","TELEFONO","BARRIOS QUE CUBRE"
"D04E1000000001","3223482354","CASAS FISCALES"
"D04E1000000001","3223482354","EL SOSIEGO"
"D04E1000000001","3223482354","LA LIBERTAD"
"D04E1000000001","3223482354","SAN BERNARDO"
"D04E1000000001","3223482354","SAN CARLOS"
"D04E1000000001","3223482354","SAN JOSE"
"D04E1000000001","3223482354","SERREZUELA"
"D04E1000000001","3223482354","U LA HUERTA"
"D04E1000000001","3223482354","U LAS ORQUIDEAS"
"D04E1000000001","3223482354","U MONTECARLO"
"D04E1000000001","3223482354","U PARQUES DE SANTAMARIA"
"D04E1000000001","3223482354","U PRADOS DE MADRID"
"D04E1000000001","3223482354","U PUERTAS DEL SOL"
"D04E1000000001","3223482354","U PUNTO MADRID"
"D04E1000000001","3223482354","U SABANA PIJAO"
"D04E1000000001","3223482354","U SAN JOSE"
"D04E1000000001","3223482354","U SANTA GRACIELA"
"D04E1000000001","3223482354","U ZARAGOZA-ALAMBRA"
"D04E1000000001","3223482354","VILLA MARIA"
"D04E1000000001","3223482354","VILLA UCRANIA"
"D04E1000000001","3223482354","VILLAS DE SERREZUELA"
"D04E0700000001","3125856563","AMPARITO"
"D04E0700000001","3125856563","APROVIM"
"D04E0700000001","3125856563","BELLO HORIZONTE"
"D04E0700000001","3125856563","BOLONIA"
"D04E0700000001","3125856563","BOSQUES DE LORETO"
"D04E0700000001","3125856563","BOSQUES DE MADRID"
"D04E0700000001","3125856563","CASAS GRISES"
"D04E0700000001","3125856563","CEREZOS I"
"D04E0700000001","3125856563","CEREZOS II"
"D04E0700000001","3125856563","CONJUNTO RESIDENCIAL CAMINO REAL"
"D04E0700000001","3125856563","EL ALCAPARRO"
"D04E0700000001","3125856563","EL CORTIJO"
"D04E0700000001","3125856563","EL EDEN"
"D04E0700000001","3125856563","EL PINAR"
"D04E0700000001","3125856563","EL PORVENIR"
"D04E0700000001","3125856563","EL RINCONCITO"
"D04E0700000001","3125856563","EL TESORO"
"D04E0700000001","3125856563","EL TRIUNFO"
"D04E0700000001","3125856563","ESCALLON"
"D04E0700000001","3125856563","GABRIEL ECHAVARRIA"
"D04E0700000001","3125856563","HACIENDA MADRID"
"D04E0700000001","3125856563","HERMANDADES DEL TRABAJO"
"D04E0700000001","3125856563","KENNEDY"
"D04E0700000001","3125856563","LA ESPAóOLA"
"D04E0700000001","3125856563","LA ESPERANZA"
"D04E0700000001","3125856563","LA MAGNOLIA"
"D04E0700000001","3125856563","LA TRINIDAD"
"D04E0700000001","3125856563","LA VIRGEN"
"D04E0700000001","3125856563","LORENA"
"D04E0700000001","3125856563","LORETO"
"D04E0700000001","3125856563","LORETO II"
"D04E0700000001","3125856563","LOS ANGELES"
"D04E0700000001","3125856563","LOS ARRAYANES"
"D04E0700000001","3125856563","LOS JAZMINES"
"D04E0700000001","3125856563","LUCITANIA"
"D04E0700000001","3125856563","MIGUEL VELASQUEZ"
"D04E0700000001","3125856563","MOLINOS"
"D04E0700000001","3125856563","NUEVO LORETO"
"D04E0700000001","3125856563","PROVIC"
"D04E0700000001","3125856563","SAN ANTONIO"
"D04E0700000001","3125856563","SAN FRANCISCO"
"D04E0700000001","3125856563","SAN LUIS"
"D04E0700000001","3125856563","SAN PABLO"
"D04E0700000001","3125856563","SAN PEDRO"
"D04E0700000001","3125856563","SANTA MATILDE"
"D04E0700000001","3125856563","U ALAMEDA DEL RIO"
"D04E0700000001","3125856563","U ALCALA"
"D04E0700000001","3125856563","U ALTOS DE MADRID"
"D04E0700000001","3125856563","U AVIUM"
"D04E0700000001","3125856563","U BALCONES DE MADRID"
"D04E0700000001","3125856563","U BILBAO"
"D04E0700000001","3125856563","U BULEVAR"
"D04E0700000001","3125856563","U CEDRITOS"
"D04E0700000001","3125856563","U CHACON"
"D04E0700000001","3125856563","U EL NOGAL"
"D04E0700000001","3125856563","U EL PORVENIR"
"D04E0700000001","3125856563","U HACIENDA ALCAPARROS"
"D04E0700000001","3125856563","U HACIENDA CASABLANCA"
"D04E0700000001","3125856563","U LA FINCA"
"D04E0700000001","3125856563","U LOS SAUCES I"
"D04E0700000001","3125856563","U LOS SAUCES II"
"D04E0700000001","3125856563","U MIRADOR DEL BOSQUE"
"D04E0700000001","3125856563","U NUEVO MILENIO"
"D04E0700000001","3125856563","U PLAZA MADRID"
"D04E0700000001","3125856563","U PUERTAS DEL CORTIJO"
"D04E0700000001","3125856563","U RESERVA DE MADRID"
"D04E0700000001","3125856563","U SAN DIEGO"
"D04E0700000001","3125856563","U VILLAS DE ALCALA"
"D04E0700000001","3125856563","VILLAS DE BARCELONA"
"D04E0700000001","3125856563","ZONA CENTRO"
